,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,0845Maqrizi.Muqaffa,Sham19Y0145334,16340,17265,1258,1,34359988825
1,0845Maqrizi.ItticazHunafa,Shamela0000176,16340,17265,330,1,34359988825
2,0845Maqrizi.Muqaffa,Sham19Y0145334,17583,18863,1259,1,214748637459
3,0845Maqrizi.Mawaciz,Shamela0011566,18157,18881,250,1,214748637460
4,0845Maqrizi.Muqaffa,Sham19Y0145334,18157,18881,1259,1,214748637460
5,0845Maqrizi.ItticazHunafa,Shamela0000176,18157,18881,331,1,214748637460
6,0845Maqrizi.Mawaciz,Shamela0011566,18496,18835,1045,1,171798982073
7,0845Maqrizi.Muqaffa,Sham19Y0145334,18496,18835,1259,1,171798982073
8,0845Maqrizi.ItticazHunafa,Shamela0000176,18496,18835,331,1,171798982073
9,0845Maqrizi.Muqaffa,Sham19Y0145334,18978,19826,1260,1,68719725047
10,0845Maqrizi.ItticazHunafa,Shamela0000176,18978,19826,331,1,68719725047
11,0845Maqrizi.Muqaffa,Sham19Y0145334,19844,20386,1260,1,8590218656
12,0845Maqrizi.ItticazHunafa,Shamela0000176,19844,20386,331,1,8590218656
13,0845Maqrizi.ItticazHunafa,Shamela0000176,20542,21196,359,1,8590218655
14,0845Maqrizi.ItticazHunafa,Shamela0000176,21812,22511,360,1,85899367969
15,0845Maqrizi.ItticazHunafa,Shamela0000176,23780,24160,384,1,25770061197
16,0845Maqrizi.ItticazHunafa,Shamela0000176,24185,24919,385,1,77309585570
17,0845Maqrizi.ShudhurCuqud,MMS00014,49582,50157,15,1,128849027217
18,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,49582,50157,119,1,128849027217
19,0845Maqrizi.ShudhurCuqud,MMS00014,50201,50427,15,1,274878133755
20,0845Maqrizi.ShudhurCuqud,MMS00014,50798,51523,1,1,180388650937
21,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,50798,51523,106,1,180388650937
22,0845Maqrizi.ShudhurCuqud,MMS00014,51104,51458,1,1,313867
23,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,51104,51458,106,1,313867
24,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,51542,52296,106,1,51539679577
25,0845Maqrizi.ShudhurCuqud,MMS00014,52496,52706,1,1,180388650938
26,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,52610,53141,107,1,51539854482
27,0845Maqrizi.ShudhurCuqud,MMS00014,53289,53597,2,1,94364
28,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,53302,53880,107,1,51539854483
29,0845Maqrizi.ShudhurCuqud,MMS00014,53982,54616,3,1,163209138958
30,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,53982,54616,108,1,163209138958
31,0845Maqrizi.ShudhurCuqud,MMS00014,54872,55551,3,1,68719818698
32,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,54872,55551,108,1,68719818698
33,0845Maqrizi.ShudhurCuqud,MMS00014,55770,56491,4,1,42949810633
34,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,55770,56491,109,1,42949810633
35,0845Maqrizi.ShudhurCuqud,MMS00014,56725,57472,4,1,317827806446
36,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,56725,57472,109,1,317827806446
37,0845Maqrizi.ShudhurCuqud,MMS00014,57668,58872,5,1,120259318471
38,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,57668,58872,110,1,120259318471
39,0845Maqrizi.ShudhurCuqud,MMS00014,58090,58841,5,1,60129564772
40,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,58090,58841,110,1,60129564772
41,0845Maqrizi.ShudhurCuqud,MMS00014,59887,60919,6,1,94489587534
42,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,59887,60919,111,1,94489587534
43,0845Maqrizi.ShudhurCuqud,MMS00014,60502,60775,6,1,94489587535
44,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,60502,60775,111,1,94489587535
45,0845Maqrizi.ShudhurCuqud,MMS00014,60936,61889,7,1,60129702409
46,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,60936,61889,112,1,60129702409
47,0845Maqrizi.ShudhurCuqud,MMS00014,61931,62762,7,1,60129702407
48,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,61931,62762,112,1,60129702407
49,0845Maqrizi.ShudhurCuqud,MMS00014,63487,64343,8,1,68719583912
50,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,63487,64343,113,1,68719583912
51,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,65436,65900,114,1,68719760374
52,0845Maqrizi.ShudhurCuqud,MMS00014,65917,66291,9,1,34359915654
53,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,65917,66291,114,1,34359915654
54,0845Maqrizi.ShudhurCuqud,MMS00014,66313,66636,9,1,34359915655
55,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,66313,66636,114,1,34359915655
56,0845Maqrizi.ShudhurCuqud,MMS00014,69409,70127,15,1,163208831613
57,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,69409,70127,120,1,163208831613
