year,meaning,1s,1_no,10s,10s_no,100s,100s_no,100_1,100_1_no,Single_10,Single_10_no,Single_100,Single_100_no,,post_term,post_term_def,Added to script
^سنة,year,إحدى,1,عشر,1,ومائة,1,وإحدى,1,,,,,,من ولاية,Regnal,TRUE
السنة,year,احدى,1,عشرة,1,ومائتين,2,واحدى,1,,,,,,من مولده,From birth (Prophet),TRUE
^سنه,year,اثنتي,2,وعشرين,2,وثلاثمائة,3,وثماني,8,,,,,,من زمان النبوة,From time of Prophecy,FALSE
السنه,year,اثنتين,2,وثلاثين,3,وثلثمائة,3,واثنتي,2,,,,,,من النبوة,From time of Prophecy,FALSE
دخلت$,year,اثنين,2,وأربعين,4,وأربعمائة,4,واثنتين,2,,,,,,من البعثة,From time of Prophecy,FALSE
,,ثنتين,2,واربعين,4,وخمسمائة,5,واثنين,2,,,,,,,,
,,ثلاث,3,وخمسين,5,وستمائة,6,وثنتين,2,,,,,,,,
,,أربع,4,وستين,6,وسبعمائة,7,وثلاث,3,,,,,,,,
,,اربع,4,وسبعين,7,وثمانمائة,8,وأربع,4,,,,,,,,
,,خمس,5,وثمانين,8,وتسعمائة,9,واربع,4,,,,,,,,
,,خمسة,5,وتسعين,9,مائة,1,وخمس,5,,,,,,,,
,,ست,6,عشر,1,مائتين,2,وخمسة,5,,,,,,,,
,,سبع,7,العاشرة,1,ثلاثمائة,3,وست,6,,,,,,,,
,,ثمان,8,عشرين,2,ثلثمائة,3,وسبع,7,,,,,,,,
,,تسع,9,العشرون,2,اربعمائة,4,وثمان,8,,,,,,,,
,,أول,1,ثلاثين,3,خمسمائة,5,وتسع,9,,,,,,,,
,,الحادية,1,أربعين,4,ستمائة,6,إحدى,1,,,,,,,,
,,الثانية,2,خمسين,5,سبعمائة,7,احدى,1,,,,,,,,
,,الثالثة,3,ستين,6,ثمانمائة,8,ثماني,8,,,,,,,,
,,الرابعة,4,سبعين,7,تسعمائة,9,اثنتي,2,,,,,,,,
,,الخامسة,5,ثمانين,8,أربعمائة,4,اثنتين,2,,,,,,,,
,,الأولى,1,تسعين,9,واربعمائة,4,اثنين,2,,,,,,,,
,,السادسة,6,اربعين,4,مئة,1,ثنتين,2,,,,,,,,
,,السابعة,7,والعشرون,2,وثلاثمئة,3,ثلاث,3,,,,,,,,
,,الثامنة,8,والثلاثين,3,وأربعمئة,4,أربع,4,,,,,,,,
,,ثماني,8,والثلاثون,3,ومئة,1,اربع,4,,,,,,,,
,,التاسعة,9,والأربعون,4,وستمئة,6,خمس,5,,,,,,,,
,,إثنين,2,والخمسون,5,خمسمئة,5,خمسة,5,,,,,,,,
,,أحدى,1,والستون,6,وماية,1,ست,6,,,,,,,,
,,ثمانية,8,والسبعون,7,ماية,1,سبع,7,,,,,,,,
,,اثنتا,2,والثمانون,8,ومئتين,2,ثمان,8,,,,,,,,
,,حمس,5,والتسعون,9,ومئتتن,2,تسع,9,,,,,,,,
,,اثنا,2,وثلثين,3,وخسمائة,5,والأربع,4,,,,,,,,
,,ثنتي,2,وستي,6,وسبعماية,7,والثلاث,3,,,,,,,,
,,اثنتى,2,والعشرين,2,أربعمئة,4,والخمس,5,,,,,,,,
,,ثمانى,8,وعشرة,1,المئة,1,والست,6,,,,,,,,
,,ثلث,3,وأبعين,4,المئتان,2,والسبع,7,,,,,,,,
,,ستة,6,وتسعون,9,المئتين,2,والثمان,8,,,,,,,,
,,سبعة,7,الثلاثون,3,والمئتين,2,والتسع,9,,,,,,,,
,,ثلاثة,3,العشرون,2,اربعمئة,4,الأربع,4,,,,,,,,
,,أربعة,4,الثلاثين,3,,,الثلاث,3,,,,,,,,
,,,,الأربعون,4,,,الخمس,5,,,,,,,,
,,,,الخمسون,5,,,الست,6,,,,,,,,
,,,,الستون,6,,,السبع,7,,,,,,,,
,,,,السبعون,7,,,الثمان,8,,,,,,,,
,,,,الثمانون,8,,,التسع,9,,,,,,,,
,,,,التسعون,9,,,,,,,,,,,,
,,,,الاربعين,4,,,,,,,,,,,,
